model,encoder_decoder,hidden_size,embedding_dim,dropout,teacher_forcing_ratio,optimizer,learning_rate,batch_size,epochs,max_len,decoding,runtime_min,hardware
no_attention,LSTM baseline,256,256,0.1,1.0,Adam (default),0.001,64,20,150,Beam search (width=3),147.27149007320406,NVIDIA RTX PRO 6000 Blackwell Server Edition
attention,LSTM + Attention,256,256,0.1,1.0,Adam (default),0.001,64,20,150,Beam search (width=3),166.68256623744963,NVIDIA RTX PRO 6000 Blackwell Server Edition
