model,epoch,train_loss,dev_loss,runtime_min,global_step,best_dev_so_far
no_attention,1,4.101365890116014,3.3741008241971335,7.402180763085683,1331,3.3741008241971335
no_attention,2,3.234437863688824,3.073772370815277,14.774203459421793,2662,3.073772370815277
no_attention,3,2.9880348665207332,2.9458940625190735,22.151241167386374,3993,2.9458940625190735
no_attention,4,2.8421755858062356,2.874189635117849,29.501829397678375,5324,2.874189635117849
no_attention,5,2.741236677033663,2.8310386339823403,36.857948287328085,6655,2.8310386339823403
no_attention,6,2.66569166466493,2.8070159951845803,44.24226330518722,7986,2.8070159951845803
no_attention,7,2.6042083843053505,2.7854824463526406,51.60462370713552,9317,2.7854824463526406
no_attention,8,2.553611890970541,2.7768027583758035,58.96226057608922,10648,2.7768027583758035
no_attention,9,2.511003161264845,2.767489234606425,66.31644399166107,11979,2.767489234606425
no_attention,10,2.473884648796672,2.7645797729492188,73.68617596228917,13310,2.7645797729492188
no_attention,11,2.4415092484383187,2.7640820145606995,81.03254707654317,14641,2.7640820145606995
no_attention,12,2.4121838124688635,2.769096573193868,88.3832507054011,15972,2.7640820145606995
no_attention,13,2.3868225740365387,2.7653399308522544,95.73519127368927,17303,2.7640820145606995
no_attention,14,2.363658504142159,2.7696021596590676,103.0842536687851,18634,2.7640820145606995
no_attention,15,2.341647655421142,2.7712769309679666,110.43227035204569,19965,2.7640820145606995
no_attention,16,2.321959512919792,2.776075065135956,117.81226276159286,21296,2.7640820145606995
no_attention,17,2.304480999596221,2.779721260070801,125.16740831931432,22627,2.7640820145606995
no_attention,18,2.287302005210378,2.7835365732510886,132.5198087731997,23958,2.7640820145606995
no_attention,19,2.272043818374221,2.7896685004234314,139.89464428027472,25289,2.7640820145606995
no_attention,20,2.2572458299096594,2.795895973841349,147.27149002552034,26620,2.7640820145606995
